X,Y,Z,sii_sii
-4.208088268039782400e+16,-1.480803791929344000e+16,-9.277331222822912000e+15,7.949618697166442871e-01
-4.208088268039782400e+16,-1.472845110155673600e+16,-9.315825940955136000e+15,8.412297368049621582e-01
-4.208088268039782400e+16,-1.464886428382003200e+16,-9.302597441683456000e+15,7.980121970176696777e-01
-4.208088268039782400e+16,-1.456927853982515200e+16,-9.298288515743744000e+15,8.376110196113586426e-01
-4.208088268039782400e+16,-1.448969172208844800e+16,-9.344488405204992000e+15,7.792984843254089355e-01
-4.200129693640294400e+16,-1.488762473703014400e+16,-9.252693142929408000e+15,1.063184380531311035e+00
-4.200129693640294400e+16,-1.480803791929344000e+16,-9.228828157149184000e+15,9.258696436882019043e-01
-4.200129693640294400e+16,-1.472845110155673600e+16,-9.313390694498304000e+15,7.266474366188049316e-01
-4.200129693640294400e+16,-1.464886428382003200e+16,-9.309967605563392000e+15,5.822073221206665039e-01
-4.200129693640294400e+16,-1.456927853982515200e+16,-9.289330287706112000e+15,7.288530468940734863e-01
-4.192171119240806400e+16,-1.488762473703014400e+16,-9.295239088963584000e+15,1.203712940216064453e+00
-4.192171119240806400e+16,-1.480803791929344000e+16,-9.363925279703040000e+15,1.113490223884582520e+00
-4.192171119240806400e+16,-1.472845110155673600e+16,-9.317942286090240000e+15,7.373830080032348633e-01
-4.192171119240806400e+16,-1.464886428382003200e+16,-9.309730308620288000e+15,6.535068154335021973e-01
-4.192171119240806400e+16,-1.456927853982515200e+16,-9.350420828782592000e+15,1.044190883636474609e+00
-4.184212115344588800e+16,-1.488762473703014400e+16,-9.419221909897216000e+15,8.909565806388854980e-01
-4.184212115344588800e+16,-1.480803791929344000e+16,-9.473139855589376000e+15,5.978990197181701660e-01
-4.184212115344588800e+16,-1.472845110155673600e+16,-9.514583068770304000e+15,8.273097276687622070e-01
-4.184212115344588800e+16,-1.464886428382003200e+16,-9.422897328160768000e+15,7.081520557403564453e-01
-4.176253540945100800e+16,-1.496721155476684800e+16,-9.376532082458624000e+15,5.899403691291809082e-01
